mod_turb,fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
x,30,65,0,10,60,6,0,1,2,-38.1,40,25,272,-35.1,21,26,266,-21.8,80,11,248,-20.4,91,9,275,-35.3,25,30,272,-20.9,77,8,286,-8,-12,72.93,170,4,30.03,6.21,0,7000,10000,10000
x,30,65,0,30,70,0,0,0,2,-23,2,54,279,-21.1,5,51,276,-14.4,4,24,287,-12.1,25,21,268,-19.2,10,42,274,-6.5,6,24,289,-2,-5,79.92,350,5,29.94,6.21,0,1200,10000,10000
x,50,70,0,50,75,6,1,1,3,-26.1,40,40,264,-22.6,83,34,261,-12.5,18,21,266,-9.6,48,17,260,-24.6,57,38,262,-12.1,97,15,286,3,-3,64.7,200,13,29.65,6.21,0,3000,6000,9000
x,40,85,0,30,80,6,0,0,2,-30.2,4,53,302,-28.2,6,55,292,-26.3,18,21,297,-20.7,36,29,282,-20.8,35,54,295,-11.4,15,31,311,-6,-11,67.73,0,1,30,6.21,0,5000,10000,10000
x,30,75,0,30,70,6,0,0,2,-26.4,11,41,288,-22.3,44,41,290,-16.3,46,17,290,-14.1,35,23,301,-20.2,77,40,282,-11.4,78,17,291,-6,-10,73.32,0,1,30.09,6.21,0,6000,10000,10000
x,25,80,9,35,80,0,0,0,2,-27.4,81,35,273,-23.1,81,40,263,-13.4,12,18,288,-11.9,10,15,284,-21.4,89,42,271,-10,38,17,310,-4,-6,85.96,0,1,29.97,6.21,0,2000,10000,10000
x,40,75,0,45,75,0,0,0,2,-26.4,49,43,278,-22,29,42,272,-17.6,22,18,286,-15.7,50,17,283,-21.1,15,41,279,-14.1,39,22,313,3,-12,32.27,150,12,30.15,6.21,0,7000,10000,10000
x,30,60,0,30,55,0,0,0,2,-26.9,67,39,280,-22.6,55,37,264,-14.1,2,22,280,-11.5,33,21,276,-23.3,76,31,275,-9.5,29,19,284,-1,-5,74.26,350,6,30.24,6.21,0,1500,3500,6000
x,15,60,0,25,40,0,0,0,2,-29.8,48,34,263,-24.7,83,34,261,-14.6,90,16,266,-13.2,78,12,256,-24.4,37,36,252,-11.2,86,13,277,-2,-6,74.08,0,1,30.12,6.21,0,10000,10000,10000
x,15,60,0,30,60,0,0,0,2,-29.9,39,22,288,-27.1,31,23,277,-12.4,26,11,316,-12.8,79,16,274,-27.8,15,23,283,-10.2,19,13,313,-2,-5,79.92,0,1,30.18,6.21,0,5000,10000,10000
x,25,60,0,15,50,0,0,0,1,-28.2,23,37,288,-24.1,16,41,289,-13.5,95,23,279,-12.9,65,17,290,-22.4,83,38,276,-7.5,17,15,299,1,-7,55.14,190,4,30.18,6.21,0,10000,10000,10000
x,50,60,0,60,80,0,0,1,1,-16.9,95,39,251,-16.9,88,35,254,-8.7,26,21,189,-7.9,24,14,193,-16.4,89,44,232,-1.5,99,42,215,0,0,100,320,3,29.26,4.97,0,200,1600,4000
x,60,80,0,45,75,0,1,1,3,-24.8,25,53,275,-14.7,5,57,268,-16.4,94,25,265,-4,9,38,276,-19.6,24,44,278,-5.5,8,32,291,2,-11,37.53,250,18,29.71,6.21,28,5000,10000,10000
x,25,55,0,35,55,0,0,0,2,-26.8,58,33,283,-24,23,34,271,-9.9,45,21,282,-7,21,20,289,-25,40,30,282,-7.7,9,19,287,-1,-4,80.07,350,5,30,6.21,0,10000,10000,10000
x,25,55,0,20,40,0,0,0,1,-23.8,46,17,284,-21.8,27,18,272,-6.9,37,17,256,-6.2,30,13,288,-21.9,36,20,291,-0.7,19,10,299,9,0,53.27,150,18,30.06,6.21,0,4000,10000,10000
x,50,60,0,50,65,0,0,0,1,-17.3,10,36,250,-16.3,14,26,264,-0.6,27,21,241,2.1,17,16,246,-12.7,21,27,239,4.6,5,27,220,12,10,87.56,150,13,29.88,6.21,0,2000,4000,4500
x,15,30,0,10,25,0,0,0,1,-21.9,14,30,288,-17.1,6,28,269,-6.5,12,21,296,-3.5,8,21,301,-19.7,2,20,274,-1.5,3,11,303,-2,-7,68.61,360,3,30.45,6.21,0,2000,3000,10000
x,35,35,0,40,40,6,0,0,1,-20.2,93,23,252,-17.2,87,22,232,-3.8,31,15,202,-2.5,6,9,205,-16.2,83,19,244,-3,2,15,179,0,-1,92.97,0,1,30.3,3.73,0,600,2500,3000
x,50,60,0,20,60,9,1,1,0,-16.2,88,32,226,-15.4,82,26,195,-0.3,100,34,217,-0.2,97,25,197,-14,5,26,213,-1.4,93,18,210,6,6,100,0,2,29.71,1.55,0,200,700,1500
x,15,40,0,20,30,0,0,0,1,-24.8,2,2,227,-15.6,85,44,204,-8.9,9,7,333,-6.1,74,15,197,-24.1,28,18,341,-6.9,14,16,354,-1,-3,86.28,350,8,30.06,6.21,0,1000,2000,3000
x,40,60,0,35,60,0,0,0,2,-24.5,11,34,289,-22.9,12,32,282,-12.1,16,18,279,-10.3,15,15,290,-21.6,5,34,296,-8,44,23,312,0,-4,74.44,360,3,30.18,6.21,0,2000,10000,10000
x,20,20,0,15,20,0,0,0,1,-23,12,18,294,-22.6,19,21,301,-5.7,31,10,281,-5.6,26,14,324,-21.8,21,9,285,-4,9,12,280,0,-3,80.22,350,3,30.18,6.21,0,10000,10000,10000
x,10,30,0,15,30,0,0,0,0,-22.4,28,13,299,-23.2,34,7,297,-2.2,5,16,276,-3.7,42,4,276,-19.2,5,9,320,-0.3,6,7,278,12,-2,37.67,150,9,30.15,6.21,0,10000,10000,10000
x,20,25,0,15,35,0,0,0,1,-19.2,9,16,285,-20.5,26,16,297,-0.6,29,9,300,-0.6,34,10,299,-17.8,3,11,251,1.1,6,5,246,9,4,70.88,350,5,30.12,6.21,0,10000,10000,10000
x,30,45,0,25,45,0,0,0,1,-17,85,22,268,-15,55,24,253,-3,100,19,247,0.2,15,13,259,-15.5,90,22,255,-0.6,100,16,280,11,7,76.34,150,11,29.83,6.21,0,1300,4000,6000
x,25,50,0,25,60,0,0,0,1,-25,2,22,291,-18.2,16,33,258,-11.7,9,13,331,-3.8,100,15,230,-21.7,1,30,297,-8,2,14,332,-1,-8,59.01,30,7,30.27,6.21,0,2500,3000,10000
x,25,45,0,30,50,0,0,0,2,-20.7,45,32,298,-19,36,35,299,-7.2,11,14,291,-7,6,18,293,-18.8,19,25,288,-1.9,18,11,294,6,0,65.38,150,18,30.21,6.21,0,3500,10000,10000
x,35,35,0,30,40,0,0,0,1,-18.6,87,27,264,-18.2,41,31,270,-5.3,7,18,266,-0.9,7,23,272,-15.9,86,25,251,-0.1,2,19,259,8,1,61.28,310,5,30.03,6.21,0,3000,4000,5000
x,25,45,0,20,45,0,0,0,1,-17.2,88,22,254,-15,89,24,256,-4.9,98,7,259,-3,100,7,247,-14.5,88,23,261,-0.9,100,10,216,4,3,93.19,330,7,30.03,6.21,0,500,800,1500
x,10,40,0,20,60,6,0,0,1,-17.6,78,22,269,-15.4,92,29,262,-4.6,2,7,336,-3.4,16,7,287,-14.4,90,17,223,-2.4,100,1,179,1,-1,86.49,310,2,30.03,3.11,0,400,1000,2500
x,20,50,0,15,50,0,0,0,2,-21.3,54,11,247,-19.9,43,25,242,-8.6,89,7,277,-6,87,9,273,-23.1,5,14,278,-9.5,11,16,342,3,0,80.65,360,4,29.85,6.21,0,1500,10000,10000
x,15,35,0,15,35,0,0,0,1,-26.6,10,12,276,-25.2,30,19,249,-11.7,18,6,303,-9.8,88,11,263,-24.9,5,17,307,-9.4,11,11,301,2,0,86.59,0,0,30.09,6.21,0,2000,6000,10000
x,35,50,0,30,40,0,0,0,1,-31.1,32,16,258,-28.1,12,21,256,-13.6,61,21,244,-9.1,58,9,233,-23.8,15,22,311,-7.3,25,18,308,7,-5,42.14,170,4,30.12,6.21,0,10000,10000,10000
x,15,20,0,15,15,0,0,0,0,-20,17,20,293,-19.7,9,16,294,-2.1,22,14,295,-0.8,22,16,306,-20.9,5,7,206,-1.6,13,7,287,5,0,70.08,350,3,30.18,6.21,0,10000,10000,10000
x,10,30,0,10,30,0,0,0,1,-21.1,3,4,215,-20.4,4,6,231,-3.3,21,4,247,-2.9,17,3,36,-20.6,1,7,257,-1.7,12,2,226,8,2,65.83,0,1,30.12,6.21,0,10000,10000,10000
x,5,15,0,10,15,0,0,0,0,-20.8,2,4,319,-19.1,41,14,248,-3.5,17,6,261,-3.3,19,2,198,-20.4,1,7,337,-2.5,5,8,259,9,1,57.26,0,2,30.09,6.21,0,10000,10000,10000
x,20,30,0,25,25,0,0,0,1,-17.2,11,13,271,-16.4,8,10,5,0.3,3,12,289,-3.6,55,9,305,-15.7,12,9,271,1.5,2,12,298,8,2,65.83,0,2,30.03,6.21,0,10000,10000,10000
x,15,50,0,20,60,6,0,1,2,-23.8,10,26,279,-19.3,32,21,262,-5.3,75,22,273,-2.6,75,11,259,-18.8,5,29,285,-2.1,50,14,316,5,-4,52.17,350,8,30.21,6.21,0,3000,10000,10000
x,15,20,0,15,40,0,0,0,1,-19.3,6,34,318,-22.2,6,31,303,-6.2,12,13,313,-5.8,11,15,313,-15,23,25,319,-0.9,4,11,326,2,-3,69.46,0,2,30.24,6.21,0,4000,10000,10000
