fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
10,20,0,20,20,0,0,0,0,-7.7,38,20,219,-7.6,91,10,246,7.1,97,23,219,8,71,11,226,-8.4,43,12,277,9.3,13,13,269,20,15,72.92,160,10,30.06,6.21,0,3000,7000,11000
35,45,0,45,45,0,0,0,0,-8.8,11,21,316,-5.9,16,18,263,6.8,23,16,337,7.7,83,23,316,-5.8,4,9,252,10.1,12,4,304,21,15,68.55,160,16,29.71,6.21,0,2000,10000,10000
15,30,0,15,35,0,0,0,0,-8.5,58,29,248,-6.7,3,26,245,1.9,90,11,283,3.5,91,6,255,-6.5,65,20,280,4.8,41,5,305,17,15,88,360,4,29.97,6.21,0,1500,3000,4000
5,35,0,0,35,0,0,0,0,-10.8,27,22,264,-9.6,19,16,263,3,3,6,263,2.7,79,12,269,-5.8,8,17,279,6.9,2,3,245,18,13,72.56,340,7,30.12,6.21,0,1000,3000,4000
20,20,0,20,35,0,0,0,0,-10.4,94,29,253,-8.9,94,22,255,3.3,91,19,235,5,100,14,241,-7.1,57,22,262,6.4,93,17,264,14,11,82.12,0,1,30.21,6.21,0,500,1500,5000
35,35,0,30,40,0,0,0,0,-12.4,2,34,248,-7.8,23,31,238,-2.5,53,22,275,5.4,90,19,238,-10.1,13,26,273,6.2,6,12,309,21,16,73.09,150,14,29.85,6.21,0,2000,4000,6000
15,30,0,15,25,0,0,0,0,-13.2,5,8,250,-12.4,4,6,262,5.2,16,8,253,7.2,8,2,246,-6.7,21,16,288,7.6,4,3,183,12,6,66.7,340,10,30.09,6.21,0,2000,3500,10000
5,15,0,10,20,0,0,0,0,-8.4,80,15,244,-6.9,39,13,225,7.4,6,7,183,7.2,100,11,164,-4.7,43,10,273,9.2,3,3,327,11,8,81.74,0,1,30.18,6.21,0,10000,10000,10000
15,15,0,20,25,0,0,0,0,-6,80,13,177,-6,97,13,184,7.6,87,5,191,7.3,84,14,141,-4,24,11,329,9.5,46,8,40,16,13,82.37,0,1,30.06,6.21,0,2000,3000,13000
60,55,0,70,70,0,0,0,0,-2.4,28,21,333,0,0,0,0,7.3,90,17,346,12.7,100,36,172,-4.1,32,19,292,9,39,15,358,18,18,100,350,11,29.74,2.49,0,500,2000,2500
5,35,0,10,25,0,0,0,0,-9.7,92,26,249,-5.3,25,23,243,5.4,4,9,208,5,64,6,217,-6.1,20,18,250,7.8,7,3,298,19,12,63.82,350,12,29.91,6.21,0,2500,10000,10000
20,40,0,25,30,0,0,0,0,-10.5,6,24,237,-8.7,41,18,242,3,8,12,248,6.8,100,13,227,-10.8,49,16,252,4.1,37,5,267,12,11,93.6,0,1,30.21,4.97,0,500,2000,5000
25,50,0,20,45,0,0,0,0,-15.4,10,27,263,-12.6,69,27,256,-0.6,2,4,264,-2.5,70,13,253,-12.4,7,25,267,4.4,3,6,273,13,10,81.99,350,4,30.24,6.21,0,800,2000,3000
30,40,0,30,45,0,0,0,0,-13.8,3,27,276,-10.9,12,23,277,1.3,5,12,266,3.2,3,6,287,-11.7,70,13,250,5.5,10,7,272,11,6,71.26,350,5,30.3,6.21,0,2000,10000,10000
20,35,0,30,35,0,0,0,0,-12.9,94,16,247,-11.5,80,30,256,1.7,3,9,249,0.1,65,15,264,-13,32,12,264,4.4,100,5,237,9,8,93.45,350,3,30.33,3.11,0,300,700,10000
